"line","company","confidence","notes"
"44","Chromcraft Revingston Douglas Inc","low","Acquired by Amtech Mgmt Ltd; most senior identifiable leader is James Yang (Principal/president of parent). Willa Yang is CFO. Email not seen."
"62","Ac Coin & Slot","low","Mac Seelig confirmed founder/chairman/CEO. Caution: company status uncertain (2013 closure report). No actual email seen."
"98","Foliot Furniture","low","CAUTION: Francis Arseneault left as CEO ~May 2024; current CEO Philip Giffard. Domain foliot.com (general info@). Aggregator suggested farseneault@foliot.com."
"125","JTB Furniture","medium","JTB sold to Prime Hospitality Group Feb 2024; Jim Donnelly president of owner. Columbus MS plant ceasing ops ~Feb 2026 but JTB goods continue. Site lists general esales@jtbfurniture.com (not Donnelly personal)."
"129","E.J. Victor","low","WARNING: E.J. Victor permanently ceased operations / liquidating 2025 (Hurricane Helene). James Kennedy was VP Operations. Guess likely inactive."
"130","Pulaski Furniture Corp.","low","Paul B. Toms Jr. RETIRED (CEO Feb 2021, Chairman Oct 2021; succeeded by Jeremy Hoff). Existing title outdated. Likely inactive."
"131","Pulaski Furniture Corp.","low","Page Wilson stepped down as President of Pulaski May 2025 (already 'former'). No verifiable email found."
"135","Pearson Company","none","Existing 'name' is not a person. Pearson is a brand acquired by RHF Investments. needName was false so no name substituted."
"137","Hickory White","none","WARNING: H.W. 'Buddy' Sherrill DIED March 24, 2023. Do not contact. Owned by Sherrill Furniture (current: Charles Sherrill CEO, Thad Monroe President). needName false, no replacement provided."
"139","Rockett, Inc.","none","DOMAIN MISMATCH: rockettinc.com is a metal-fabrication company in Flowood MS (sales@rockettinc.com), not the furniture maker; no Bucky Crystal. Did not attach unrelated email."
"162","Bradington-Young","low","Paul B. Toms Jr. RETIRED (Chairman Oct 2021). Designation outdated. Pattern inferred; likely inactive."
"164","Fraenkel Company Inc.","none","Fraenkel Company (Olive Branch, MS) listed CLOSED (Yelp Oct 2025). Could not verify Larry Lamb or any current email."
"175","Borkholder","none","Ola Yoder is founder/CEO of Kountry Wood Products (former Borkholder owner); Borkholder later acquired by Fusion Designs. No verified email."
"183","Brayton International","none","Brayton International sold to Steelcase 1987. Paul Brayton now runs Paul Brayton Designs; general Requests@paulbraytondesigns.com. No personal email found."
"198","Fezibo","none","No founder/CEO/owner disclosed publicly (online standing-desk brand, likely China-based). No identifiable leadership or email."
"215","Heritage Home Group","none","Heritage Home Group dissolved after July 2018 Chapter 11; brands sold off. No current entity or leadership to contact."
"224","Rapp Productions, Inc.","low","Greg Rapp no longer president/owner; Nathan Bearman is CEO since 2020. Format first@furniturelab.com (69.8%). Not seen."
"245","Aanes, Greg, Furniture, Inc.","low","ZoomInfo shows g***@nwchairs.com (company also uses chairsnw.com). Production ceased Jan 2023. Not viewable."
"254","TRS Furniture, Inc.","none","Sumner Finch, longtime TRS president, has retired (replaced by Thomas Woller). No current/verified email."
"268","Perdues, Inc./Perdue Woodworks","low","Only general info@perduefurniture.com published. Lori Perdue (former director/secretary). Acquired by Hospitality Designs 2023; current pres/COO Steve Yeung. No personal email."
"273","Karges Furniture Co.","none","Karges absorbed into Kindel (acquired by Holladay Design House 2024). Joan Karges Rogier no longer in leadership; current pres/CEO Gretchen Keith. No email for Joan."
"285","Charles Inc.","none","Charles Inc. (dba Charles Custom Furniture), Council Bluffs IA appears defunct/closed (Yelp CLOSED). No identifiable current leadership or email."
"304","Great Lakes Case & Cabinet Co., Inc","low","Jonathan Markley = President. Acquired by Vertiv. Pattern FirstL@greatcabinets.com (78%) else FLast; general glcc@greatcabinets.com. Alt jmarkley@. Not seen."
"306","Romweber","none","Original Romweber Furniture Co (Batesville IN) defunct; no current manufacturer leadership. Factory now Romweber Marketplace (different business)."
"328","Hamilton Sorter","low","ZoomInfo masked ****@hamiltoncs.com for Ted (Thaddeus) Jaroszewicz (owner). Format not disclosed; no reliable guess. General info@hamiltoncs.com."
"343","Keywell LLC","low","Keywell sold to Cronimet (2013); now Keywell Metals with multiple plant GMs, no single public owner/CEO. ZoomInfo masked f***@keywell.com. Pattern guess only."
"367","Oregon Pallet","low","Bryce Taylor (President) masked b***@oregonpallet.com. Acquired by 48forty Solutions 2021, so current email may differ. Not seen."
"399","Arca","none","Edward R. 'Jack' Cameron (founder) RETIRED from ARCA Feb 2016. No current/verifiable email at this company."
"400","DS Smith","medium","Keith Tornes oversees NA recycling (Riceboro GA). Format first.last@dssmith.com (mindy.myrick@ verified). DS Smith acquired by International Paper 2025."
"415","Gala Industries, Inc.","low","Paul Merich = VP/GM MAAG Americas (Gala acquired by MAAG 2015). Masked m****l@maag.com. MAAG format first.last@maag.com. Not seen."
"423","State Metal Industries","medium","Andrew Dorfman = President. Email domain smialum.com (statemetal.com parked). Directories list andydorfman@smialum.com; ZoomInfo masks a***@smialum.com. Co-leader John Mullin uses full firstlast, so andrewdorfman@ also plausible."
"428","Office Paper Systems","none","Company appears CLOSED (Yelp 'CLOSED', Gaithersburg/Rockville MD). No identifiable current leadership."
"435","American Baler","low","David Kowaleski RETIRED as president/GM June 2025; Nate Kuhl succeeded. Likely no longer reachable at company."
"463","Ameriglobe Fibc Solutions","low","CAUTION: Daniel Schnaars Sr. (founder/owner) has RETIRED; current CEO Danny Schnaars, COO Matthew Schnaars. Domain ameriglobe-fibc.com (NOT ameriglobe.com); masked d***@. Sr. likely inactive; verify before outreach."
"476","Phoenix Technologies International, LLC","none","Owned by Taiwan's Far Eastern New Century since 2019; closed Bowling Green plant Nov 2025 (pellet plant still operating). No identifiable local CEO. D&B lists James Zechinati (title unconfirmed)."
